ssn	occupation	education	gender	salary
d136042356	other-technician	diploma	f	72127
g103350132	part-time-worker	secondary-school	f	8420
b133555850	engineering-worker	certificate-iii	m	86071
d130445878	ict-technician	certificate-iv	m	118261
c129542380	construction-worker	diploma	f	74832
e153605585	legal-professional	masters-degree	m	94589
a146500318	chief-executive	graduate-diploma	f	112446
c163903574	other-technician	diploma	m	84575
c153296705	other-technician	advance-diploma	f	115051
h140953205	other-worker	certificate-iii	f	69154
d100636388	other-clerical-worker	senior-secondary-school	m	37725
d139303460	carer	certificate-ii	f	44721
b176000639	secretary	certificate-i	m	46983
e130681230	personal-assistant	certificate-i	m	39110
d113502362	other-worker	certificate-iii	m	56242
c100639602	other-technician	certificate-iv	m	140564
f161934203	ict-technician	diploma	m	91042
f114361820	health-professional	graduate-certificate	m	127712
d122263200	machinary-driver	senior-secondary-school	m	18456
h100535360	automotive-worker	certificate-iii	m	61121
h169079533	construction-worker	diploma	f	81731
h161360065	legal-professional	graduate-certificate	m	90818
d153090669	construction-worker	certificate-iv	m	52213
g180605363	other-service-worker	certificate-ii	m	33270
e190412365	other-worker	certificate-ii	f	84465
d181656330	other-technician	certificate-iii	f	103805
h188663160	art-media-professional	advance-diploma	f	95699
e190263667	other-service-worker	certificate-i	f	65326
b120622573	other-technician	certificate-iii	f	105747
d163086657	education-professional	bachelor-degree	m	99946
i173330976	machinary-driver	senior-secondary-school	m	15621
d170008361	personal-assistant	certificate-i	f	30326
h170059753	education-professional	masters-degree	f	95047
b129037390	taxi-driver	senior-secondary-school	f	12185
h105157327	health-professional	bachelor-degree	m	119953
b174103518	engineering-worker	certificate-iii	f	93265
d113023737	education-professional	bachelor-degree	f	139966
d134572000	carer	certificate-i	f	38061
b122574403	secretary	senior-secondary-school	f	38475
a174023978	other-technician	certificate-iv	f	131819
a133409753	art-media-professional	bachelor-degree	m	88692
g178400034	ict-technician	diploma	f	149533
b174477303	un-employed	secondary-school	f	4665
h173570474	other-worker	certificate-ii	m	51139
e172730773	farm-worker	senior-secondary-school	f	18247
b177090534	construction-worker	certificate-ii	f	90207
f103374947	un-employed	secondary-school	m	4609
h182100403	art-media-professional	bachelor-degree	f	92286
c117188030	ict-technician	certificate-iv	f	88270
g125845103	other-labourer	senior-secondary-school	f	10877
d123368501	health-professional	advance-diploma	m	91651
g150630863	other-worker	certificate-iv	f	63488
b186930039	factory-worker	senior-secondary-school	m	12483
i141783600	ict-professional	bachelor-degree	f	98329
g169680633	legal-professional	bachelor-degree	f	97317
a103773187	carer	certificate-i	f	62125
g185837407	engineering-worker	certificate-iv	m	91391
a180176368	personal-services-worker	certificate-i	m	76961
e109838888	manager	graduate-diploma	m	113040
b191380730	other-technician	advance-diploma	m	124496
i190103052	other-service-worker	certificate-i	f	31171
f196301200	engineering-worker	certificate-ii	f	84191
a190395324	ict-technician	certificate-iii	f	121966
d189938250	health-support-worker	certificate-ii	f	48052
h106832239	farm-worker	senior-secondary-school	m	18042
i169017053	machinary-driver	senior-secondary-school	f	10520
a102372031	ict-technician	certificate-iv	m	110812
b187223180	chief-executive	graduate-diploma	f	109659
b104137106	education-professional	masters-degree	m	145940
h195136210	ict-technician	diploma	f	76666
d103118605	automotive-worker	certificate-ii	m	65222
a106462133	personal-assistant	certificate-i	f	48083
g103705143	health-professional	bachelor-degree	m	104561
i199310813	looking-for-employment	secondary-school	m	4422
h101488063	art-media-professional	masters-degree	f	139642
e145043319	manager	graduate-diploma	f	115997
b131970123	construction-worker	diploma	f	73598
h100173741	ict-technician	certificate-iv	m	91657
i114310161	other-technician	certificate-iv	f	110376
g111273131	clerks	certificate-i	f	36176
f116031131	personal-services-worker	certificate-i	m	67392
e183811236	art-media-professional	graduate-diploma	f	138946
g113124311	health-professional	doctoral-degree	m	97448
e113663141	looking-for-employment	secondary-school	f	4463
h111925385	other-technician	diploma	m	91298
i121938136	secretary	certificate-i	f	48696
h116140367	carer	certificate-ii	f	78933
h133317451	other-worker	certificate-iv	m	95445
h113597135	taxi-driver	senior-secondary-school	f	16852
b194983161	automotive-worker	diploma	m	97225
d121389615	other-clerical-worker	certificate-i	m	35324
h169261613	ict-technician	certificate-iv	m	147436
i111107232	taxi-driver	senior-secondary-school	m	19168
b112215132	ict-technician	certificate-iv	f	94301
h121562322	engineering-worker	certificate-iii	f	52578
d153522918	ict-technician	bachelor-degree	f	131037
g171320331	other-worker	diploma	f	80002
g127034012	other-technician	bachelor-degree	m	109756
g150721803	other-service-worker	certificate-i	m	30599
d129335210	automotive-worker	certificate-iv	f	75674
f124625313	engineering-worker	diploma	f	88298
d163211734	other-technician	certificate-iv	m	82613
a122186713	clerks	certificate-i	m	40527
a187258319	machinary-driver	secondary-school	f	12680
e131310030	ict-technician	certificate-iii	m	89017
e130203916	manager	graduate-diploma	f	155121
b130221473	automotive-worker	certificate-ii	f	92376
e163831033	other-worker	diploma	f	69861
h133521013	ict-technician	certificate-iii	m	145075
d138833154	art-media-professional	bachelor-degree	f	123434
d140530137	other-technician	bachelor-degree	f	126897
e133718510	construction-worker	certificate-ii	f	63890
e135213837	other-clerical-worker	certificate-i	f	49573
d133126179	construction-worker	certificate-ii	f	92317
i185580313	carer	certificate-i	m	63865
f136483991	manager	doctoral-degree	m	162761
b101328293	clerks	certificate-i	f	44840
a170384310	art-media-professional	graduate-certificate	m	110344
c140113369	ict-technician	bachelor-degree	f	93815
g114833722	health-professional	graduate-certificate	f	86525
g153433116	carer	certificate-i	f	44923
a114435531	other-clerical-worker	certificate-i	m	44684
h134511449	ict-professional	bachelor-degree	f	145293
a133708413	health-professional	graduate-diploma	f	103367
e134317497	ict-technician	bachelor-degree	m	84942
b110388479	legal-professional	doctoral-degree	f	109432
h181634114	farm-worker	senior-secondary-school	m	14756
e100335108	carer	certificate-ii	f	51315
b101754138	other-service-worker	certificate-i	f	79622
h151164123	legislator	graduate-certificate	f	166488
a113054129	construction-worker	certificate-iv	m	62753
i151123331	legal-professional	advance-diploma	m	91927
i125831694	other-technician	advance-diploma	m	98736
i153882313	cleaner	senior-secondary-school	f	12900
g151364745	personal-services-worker	certificate-i	m	71727
h181631154	ict-professional	graduate-certificate	f	147438
b152145630	ict-technician	certificate-iii	f	128954
a154431917	legal-professional	bachelor-degree	m	148475
e131959852	other-service-worker	certificate-i	m	30626
a121653321	ict-technician	certificate-iii	f	89962
i133667321	general-manager	doctoral-degree	m	154447
g123753916	carer	certificate-ii	f	65394
i153611177	personal-services-worker	certificate-i	f	59621
g107658531	art-media-professional	graduate-certificate	f	93611
e103861768	chief-executive	graduate-diploma	f	195787
i131215871	carer	certificate-i	f	30604
e105711131	part-time-worker	secondary-school	f	7723
e141756322	secretary	certificate-i	f	30429
d181725933	secretary	certificate-i	f	45738
c146732651	ict-technician	diploma	f	75697
a187323515	ict-technician	advance-diploma	m	91472
g187367132	engineering-worker	certificate-iii	m	77546
b173607141	legal-professional	advance-diploma	f	105763
h117367978	taxi-driver	senior-secondary-school	f	15380
g153189723	education-professional	graduate-certificate	f	119467
g100189103	engineering-worker	certificate-ii	f	73144
a115980136	ict-technician	bachelor-degree	f	75601
i138712181	art-media-professional	bachelor-degree	m	89692
c135181366	legal-professional	graduate-diploma	f	123058
e178198137	machinary-driver	senior-secondary-school	f	10886
a118830922	legal-professional	advance-diploma	f	86264
c163383011	other-technician	certificate-iii	m	145917
a114330318	chief-executive	graduate-certificate	f	127968
c147884613	construction-labourer	senior-secondary-school	m	15871
g183583811	legislator	masters-degree	m	174339
g123138615	carer	certificate-ii	f	56271
f131839739	education-professional	advance-diploma	m	117288
f187531596	clerks	senior-secondary-school	f	48733
i133090311	construction-worker	certificate-iii	f	52067
f177104309	engineering-worker	diploma	f	69269
c126592311	ict-technician	advance-diploma	f	90144
c130903129	un-employed	secondary-school	f	1754
a110394928	ict-technician	bachelor-degree	f	71224
e171935372	ict-technician	certificate-iii	f	124210
h199134450	engineering-worker	certificate-iii	m	88672
i115359988	legal-professional	graduate-diploma	f	123628
i136127139	general-manager	graduate-diploma	f	190287
i170893109	health-professional	doctoral-degree	m	111731
i138084719	manager	graduate-diploma	f	146586
e197693187	other-worker	diploma	m	93601
a118953671	clerical-worker	senior-secondary-school	m	34177
f162819316	other-service-worker	certificate-ii	f	54433
i118973824	education-professional	masters-degree	m	131834
a191897839	cleaner	senior-secondary-school	f	19421
b153939351	ict-professional	bachelor-degree	m	100717
e160023089	legal-professional	advance-diploma	f	105148
b123107020	legal-professional	bachelor-degree	f	113132
c123047711	other-technician	bachelor-degree	m	130499
a135109452	other-worker	certificate-iii	m	79227
a132109900	legislator	graduate-diploma	m	187145
f122202637	engineering-worker	certificate-iv	f	57491
a172752034	clerks	senior-secondary-school	f	31923
f122737047	other-clerical-worker	senior-secondary-school	m	34216
i132202029	construction-worker	certificate-iii	m	85435
f197220093	art-media-professional	bachelor-degree	f	102884
c130900052	ict-technician	diploma	f	125098
d135903215	other-worker	certificate-iv	f	56370
g125230950	art-media-professional	advance-diploma	m	97082
d102020630	health-support-worker	certificate-i	f	48981
g107223066	farm-worker	senior-secondary-school	f	12274
h142743087	other-worker	certificate-iii	f	65517
b136086282	engineering-worker	certificate-iv	f	78493
i122315025	ict-technician	advance-diploma	f	142229
c171318727	ict-technician	bachelor-degree	f	149453
e145233312	other-technician	advance-diploma	m	134993
i149108233	ict-professional	advance-diploma	f	94033
f136217671	other-technician	certificate-iv	f	103921
c166037201	taxi-driver	senior-secondary-school	f	14375
b121121583	construction-labourer	senior-secondary-school	m	11254
e119218733	ict-technician	certificate-iii	m	78900
e111993218	education-professional	doctoral-degree	f	88690
h121133922	ict-technician	advance-diploma	m	131213
g143723128	personal-assistant	senior-secondary-school	m	40698
b127830261	clerks	certificate-i	f	32267
d151232656	ict-technician	certificate-iii	m	117660
a171322822	engineering-worker	certificate-iv	f	90701
f131922182	health-support-worker	certificate-i	f	71260
c142723239	ict-professional	advance-diploma	m	84898
h163826332	construction-worker	diploma	m	62131
c122034324	general-manager	graduate-diploma	f	169321
a127343235	other-service-worker	certificate-i	m	58074
g144413122	secretary	certificate-i	f	41418
b125912322	ict-technician	advance-diploma	m	127890
g127958323	ict-technician	bachelor-degree	f	110846
a156232275	manager	graduate-certificate	f	122051
e152322692	health-support-worker	certificate-i	f	63826
b132258671	health-professional	advance-diploma	m	126037
h130282329	taxi-driver	senior-secondary-school	f	17316
i121136382	construction-worker	certificate-iv	f	96169
a124828396	factory-worker	senior-secondary-school	f	11220
f114820239	ict-technician	advance-diploma	m	111696
b163305302	factory-worker	senior-secondary-school	m	10456
g166033267	other-service-worker	certificate-ii	f	61790
h143392312	un-employed	secondary-school	f	4687
b183752233	education-professional	masters-degree	f	131252
e188323223	other-technician	bachelor-degree	f	75973
f153428303	legislator	graduate-diploma	f	137546
f179322635	other-technician	advance-diploma	m	87700
c127393559	legislator	graduate-diploma	m	110168
c113833862	manager	graduate-diploma	f	111791
i133672333	health-professional	advance-diploma	f	84829
a123477362	other-service-worker	certificate-ii	f	63158
i139200238	health-professional	advance-diploma	f	111841
d103237678	un-employed	secondary-school	f	4314
e171593623	clerks	senior-secondary-school	m	35702
g182694433	other-clerical-worker	certificate-i	m	31801
a194205836	art-media-professional	graduate-diploma	f	85619
g170323483	farm-worker	secondary-school	f	18957
e124634431	legislator	graduate-certificate	m	172170
e134489672	clerks	certificate-i	m	31940
f141561342	other-technician	certificate-iii	m	92333
b193543227	health-support-worker	certificate-ii	f	31535
d123534822	clerks	senior-secondary-school	f	34879
b181470723	education-professional	bachelor-degree	f	139166
e119343926	other-worker	certificate-ii	f	65906
a194296383	clerical-worker	certificate-i	f	34223
c132525030	ict-technician	advance-diploma	f	138401
i143121415	un-employed	secondary-school	f	4422
a154362667	other-technician	diploma	f	86698
c185993472	engineering-worker	certificate-ii	m	69873
b192138951	education-professional	graduate-certificate	m	146603
g151923493	art-media-professional	bachelor-degree	m	88290
b192934485	other-worker	diploma	f	77343
d126601730	other-technician	bachelor-degree	f	105752
g100652031	un-employed	secondary-school	f	1711
a131686206	education-professional	advance-diploma	f	116764
h146003223	clerks	certificate-i	f	33936
a149131264	ict-technician	bachelor-degree	m	140281
h124538622	health-professional	graduate-certificate	f	120738
b162548063	clerks	certificate-i	f	37178
a148647523	engineering-worker	certificate-ii	m	58597
h164238386	ict-technician	diploma	f	111663
d156882603	health-professional	advance-diploma	f	113234
d167249834	machinary-driver	secondary-school	m	11704
d126321920	other-technician	diploma	f	126468
g123229656	personal-services-worker	certificate-i	m	44784
g198465263	other-technician	certificate-iv	f	93134
e168326939	ict-technician	diploma	f	95112
d143924683	other-technician	bachelor-degree	f	117492
a123084731	ict-technician	bachelor-degree	f	148157
g147131287	legal-professional	graduate-certificate	f	118472
c137522671	ict-technician	diploma	f	121796
f174327176	carer	certificate-i	f	52717
h145704232	clerks	certificate-i	m	35466
i147772034	construction-worker	certificate-iv	f	52961
f175132425	taxi-driver	senior-secondary-school	m	14935
f127334633	carer	certificate-i	m	36222
c180944273	art-media-professional	doctoral-degree	f	90499
i123875178	ict-technician	advance-diploma	f	71673
e179239363	clerical-worker	certificate-i	m	35992
f177332110	health-professional	bachelor-degree	f	142685
b162327147	other-technician	certificate-iv	f	108874
c117372867	taxi-driver	senior-secondary-school	f	16807
f138483280	construction-worker	certificate-ii	m	67276
h120058453	health-support-worker	certificate-ii	m	46829
h120613983	farm-worker	senior-secondary-school	f	11983
h199211843	health-support-worker	certificate-i	f	63019
a160232338	automotive-worker	certificate-ii	m	73833
a138434206	automotive-worker	certificate-iii	f	93411
c146978273	construction-worker	certificate-iii	f	89481
c194528343	engineering-worker	certificate-iv	f	50908
b125538459	construction-labourer	senior-secondary-school	f	14521
c186325887	other-technician	advance-diploma	f	120348
a173082485	manager	doctoral-degree	f	198905
g161285034	ict-technician	certificate-iv	f	127728
c146229839	education-professional	advance-diploma	f	115268
b147232875	automotive-worker	certificate-iv	m	92423
d132686886	legal-professional	bachelor-degree	f	123782
b136439282	factory-worker	senior-secondary-school	f	19318
i192308941	art-media-professional	graduate-diploma	m	92185
f107216139	automotive-worker	certificate-ii	f	71966
b125932492	education-professional	doctoral-degree	m	97317
c193324018	construction-worker	diploma	f	50986
h194435236	other-technician	advance-diploma	f	109532
a195194392	legislator	masters-degree	f	139017
g119872932	art-media-professional	graduate-certificate	m	104742
e113343002	ict-technician	diploma	f	147206
d105231623	health-professional	advance-diploma	m	97966
g183021535	carer	certificate-i	m	54431
d123642030	engineering-worker	certificate-iv	m	79126
f182030430	legal-professional	graduate-diploma	m	104461
c177330439	ict-technician	diploma	m	78903
d130243830	ict-technician	certificate-iv	f	144429
g103931786	legal-professional	advance-diploma	m	123988
c133362088	farm-worker	secondary-school	m	17251
d198364030	ict-professional	graduate-diploma	f	138709
a133853710	other-worker	certificate-ii	f	58328
a115105343	other-clerical-worker	senior-secondary-school	f	42322
e113021403	personal-services-worker	certificate-ii	f	31264
e137302801	other-labourer	senior-secondary-school	f	18126
d128911332	construction-labourer	secondary-school	f	16529
g131575593	secretary	certificate-i	m	35245
g133126349	other-clerical-worker	certificate-i	m	39538
d108371037	other-technician	diploma	m	107822
b113180337	machinary-driver	secondary-school	f	15863
c184139123	engineering-worker	certificate-ii	f	50959
a122683233	other-worker	certificate-iii	f	80216
h192333226	art-media-professional	advance-diploma	m	92886
g102235236	general-manager	graduate-diploma	m	164830
c132433552	clerks	certificate-i	m	31349
c135308223	engineering-worker	certificate-ii	f	97357
e136834220	health-professional	graduate-certificate	f	129697
f134662443	ict-technician	diploma	m	142215
f139736332	secretary	certificate-i	m	39129
h142383478	ict-technician	certificate-iii	m	78317
e155972332	education-professional	bachelor-degree	f	95455
i173728359	health-support-worker	certificate-ii	m	46463
e132800332	other-clerical-worker	senior-secondary-school	f	43515
f135932233	ict-technician	certificate-iii	f	140139
d153239382	other-technician	advance-diploma	f	110428
a135037332	other-technician	diploma	m	106784
a136333343	ict-technician	certificate-iv	f	143913
h196333449	other-worker	diploma	m	67197
f168633317	automotive-worker	certificate-ii	f	88500
b173317381	education-professional	masters-degree	m	145759
i104382333	secretary	senior-secondary-school	m	33932
d199313539	construction-worker	certificate-ii	f	64954
h183011534	other-service-worker	certificate-ii	m	65561
i131166432	legal-professional	advance-diploma	m	83293
a133345132	health-professional	graduate-diploma	f	96575
c183394388	construction-worker	diploma	m	51664
h103641436	other-technician	advance-diploma	f	143546
a123364534	factory-worker	senior-secondary-school	f	14609
d114353113	other-technician	advance-diploma	m	103037
b163543924	other-technician	diploma	f	139428
h116343069	other-worker	diploma	m	69555
c139433166	taxi-driver	senior-secondary-school	m	17203
e194635361	engineering-worker	certificate-ii	f	80968
i134783276	other-technician	certificate-iii	m	71708
a178363374	education-professional	advance-diploma	f	148471
e153184838	ict-technician	certificate-iv	m	88619
d133294093	legislator	graduate-certificate	f	198964
b108433449	taxi-driver	secondary-school	f	18819
f166734293	construction-labourer	secondary-school	m	14612
h116203335	ict-technician	certificate-iii	f	135236
b112733513	automotive-worker	certificate-iv	f	96732
e133509331	automotive-worker	certificate-iii	f	80447
e143137529	chief-executive	masters-degree	f	176263
d194374335	clerical-worker	senior-secondary-school	m	42626
e135236495	other-technician	advance-diploma	f	83153
g153556853	automotive-worker	certificate-iv	f	57717
d136652323	other-technician	diploma	f	97866
f152370423	ict-technician	certificate-iv	f	81213
i178317335	other-clerical-worker	certificate-i	f	36890
e193925231	ict-technician	advance-diploma	f	139614
i139965136	ict-technician	advance-diploma	m	117657
g134186333	engineering-worker	certificate-iv	m	92386
g112694333	secretary	senior-secondary-school	m	34976
a153134364	other-clerical-worker	certificate-i	f	30886
i167476335	taxi-driver	senior-secondary-school	f	17457
c166587933	factory-worker	senior-secondary-school	f	13296
f196362663	engineering-worker	diploma	f	86880
f139073200	other-technician	certificate-iii	f	75023
e137033511	construction-labourer	senior-secondary-school	f	17440
g170732131	construction-labourer	senior-secondary-school	m	15598
g103718233	shop-assistent	secondary-school	f	9538
c193513474	other-technician	advance-diploma	m	130186
b143767384	ict-technician	certificate-iv	m	97233
c198133527	ict-technician	bachelor-degree	f	140450
b192517933	other-technician	diploma	f	125882
h195873773	health-support-worker	certificate-ii	m	52457
c199679339	automotive-worker	certificate-iv	f	51590
a178729433	construction-labourer	senior-secondary-school	f	14197
i148893233	ict-technician	diploma	f	117585
b118354883	other-technician	bachelor-degree	f	106427
h103720835	education-professional	advance-diploma	m	134936
a181372835	automotive-worker	certificate-iii	m	77763
c191774338	secretary	certificate-i	f	41036
d192004333	ict-technician	certificate-iii	f	97562
f161476339	ict-technician	certificate-iii	f	75654
e193332092	ict-professional	masters-degree	m	87735
d133768992	personal-services-worker	certificate-i	f	56520
a170493733	other-technician	bachelor-degree	f	123534
g138413339	ict-technician	advance-diploma	f	148839
f155359335	construction-worker	certificate-ii	m	83228
g191759363	other-technician	bachelor-degree	f	78778
f196563643	ict-professional	graduate-diploma	f	81360
c180369037	construction-worker	certificate-ii	f	69864
g160333897	art-media-professional	advance-diploma	m	148913
h195395732	ict-technician	advance-diploma	f	148810
d151539038	automotive-worker	certificate-iii	f	66763
e198673036	carer	certificate-ii	f	43343
f101384277	ict-technician	advance-diploma	f	149823
a142320192	automotive-worker	diploma	m	98982
b140951293	other-technician	certificate-iii	f	89729
e136472403	other-clerical-worker	senior-secondary-school	f	49899
d173005468	other-clerical-worker	senior-secondary-school	f	37122
a141034626	ict-technician	bachelor-degree	m	79494
e165305943	other-worker	certificate-ii	m	75881
c104603649	general-manager	masters-degree	m	123639
d171770434	automotive-worker	certificate-iv	f	53983
e148373023	machinary-driver	senior-secondary-school	f	12943
c172083654	ict-technician	advance-diploma	f	113546
h174333708	carer	certificate-ii	m	40476
b193180444	other-labourer	senior-secondary-school	f	17278
f103246739	construction-labourer	senior-secondary-school	m	14559
e197407362	other-worker	certificate-ii	f	55765
a161314140	general-manager	graduate-diploma	f	180270
f131331453	other-technician	diploma	f	81411
h113424813	farm-worker	senior-secondary-school	f	18477
c114334464	automotive-worker	certificate-iv	f	55509
h104653714	legal-professional	bachelor-degree	m	87870
a150348611	other-technician	diploma	f	136523
g153104745	other-technician	certificate-iv	f	140230
g114186738	other-service-worker	certificate-i	f	52240
c144841336	education-professional	bachelor-degree	f	101866
d156478813	other-service-worker	certificate-i	f	44924
a179841739	other-technician	advance-diploma	m	139646
f115834259	personal-services-worker	certificate-i	m	72420
g103422266	ict-technician	advance-diploma	f	146033
a111426733	other-technician	certificate-iv	f	149439
d116243883	automotive-worker	certificate-iv	f	96256
b182223734	health-support-worker	certificate-ii	f	47340
g132235947	engineering-worker	certificate-iv	m	58495
g129268374	other-technician	certificate-iii	m	89053
a131231340	legal-professional	bachelor-degree	f	141376
b112333463	chief-executive	doctoral-degree	f	179084
h154344982	clerks	senior-secondary-school	f	31147
c153140234	manager	graduate-certificate	m	111526
e125432450	ict-professional	advance-diploma	f	141380
d193345962	other-service-worker	certificate-ii	m	33465
i154632896	other-service-worker	certificate-ii	f	36847
h119430282	ict-professional	advance-diploma	m	100103
g125931234	other-technician	bachelor-degree	f	92276
d149479623	ict-technician	bachelor-degree	f	124100
e104643532	health-professional	masters-degree	f	109720
e152474334	machinary-driver	senior-secondary-school	m	13873
b143153431	other-technician	certificate-iv	f	101929
c143583236	looking-for-employment	secondary-school	m	1768
a110433773	other-technician	advance-diploma	m	111364
a174337036	ict-technician	advance-diploma	m	87768
i181463373	engineering-worker	certificate-iii	f	70570
g175447433	automotive-worker	certificate-iii	f	62344
a137883834	health-support-worker	certificate-i	m	42035
e194430936	ict-technician	bachelor-degree	f	127509
g137319294	ict-technician	certificate-iv	f	74393
b100834420	other-technician	certificate-iii	m	147399
e104271234	ict-technician	advance-diploma	f	107876
e112444386	clerks	certificate-i	m	30761
a134143439	other-worker	certificate-iv	f	98025
g144432652	ict-professional	bachelor-degree	f	103407
c165443404	general-manager	graduate-diploma	f	119173
b162349443	other-technician	advance-diploma	m	99566
f143675451	engineering-worker	diploma	m	85873
i134174798	farm-worker	senior-secondary-school	f	11541
b123344906	other-technician	certificate-iii	f	103190
h114403839	other-service-worker	certificate-i	f	70982
e144390853	education-professional	bachelor-degree	f	134763
i166533040	factory-worker	senior-secondary-school	f	12865
h135642540	other-technician	certificate-iv	f	133338
d134333556	other-technician	advance-diploma	f	93594
f134494513	machinary-driver	secondary-school	m	12011
a143227135	ict-technician	certificate-iv	m	103398
c149053245	ict-technician	bachelor-degree	f	149996
e146385454	shop-assistent	secondary-school	m	9635
g154349893	farm-worker	senior-secondary-school	f	10973
g161335452	ict-technician	diploma	m	119731
b137255643	secretary	senior-secondary-school	f	48921
b173759744	automotive-worker	certificate-iv	m	66952
f114580935	other-worker	certificate-iv	m	89888
c162654043	art-media-professional	bachelor-degree	f	146672
g143546040	ict-technician	certificate-iii	f	96098
g103434076	art-media-professional	bachelor-degree	m	103586
d128604538	construction-worker	certificate-iv	m	60863
i193143216	personal-services-worker	certificate-ii	m	66358
f181691043	engineering-worker	certificate-ii	m	87680
b149462033	other-clerical-worker	senior-secondary-school	f	36796
d119436422	ict-technician	certificate-iii	f	134789
g186437626	other-technician	diploma	m	122268
e140523368	other-clerical-worker	certificate-i	f	36439
g160430384	ict-technician	bachelor-degree	f	106004
f134464542	ict-technician	certificate-iii	f	135961
d127543467	health-professional	bachelor-degree	f	115909
i130346956	art-media-professional	bachelor-degree	f	120354
g133887146	construction-worker	certificate-iv	m	58392
d184326568	other-technician	advance-diploma	f	92475
a179468341	ict-technician	certificate-iv	m	91645
h161319346	engineering-worker	certificate-iii	m	72762
g164392683	ict-technician	advance-diploma	f	77365
h174316301	other-technician	advance-diploma	m	104821
b173014410	construction-worker	certificate-iv	f	60408
f142437677	other-technician	diploma	f	106515
i137324723	health-professional	graduate-diploma	f	95078
d169273410	art-media-professional	graduate-diploma	f	122124
a154738749	construction-labourer	secondary-school	m	14509
g151370494	farm-worker	secondary-school	f	19116
a157474034	health-support-worker	certificate-i	f	33511
a127337644	automotive-worker	certificate-iii	f	92588
c137212734	ict-technician	bachelor-degree	f	122156
c143729549	ict-technician	bachelor-degree	m	120194
c184362621	ict-technician	certificate-iv	f	122388
e183234220	other-worker	certificate-ii	m	50419
f178833426	engineering-worker	diploma	m	89518
h140241783	construction-worker	diploma	f	76769
c143488791	personal-assistant	certificate-i	f	36376
b183924932	other-worker	certificate-iv	f	57260
b194982388	legislator	graduate-diploma	m	188574
a193839445	automotive-worker	certificate-iv	f	77453
a198353774	ict-technician	certificate-iii	m	80780
h140939858	ict-technician	diploma	f	113313
g187134497	engineering-worker	certificate-iii	f	56492
f192337954	other-worker	certificate-iii	m	57940
d184959433	health-support-worker	certificate-i	f	65011
i131976435	legal-professional	advance-diploma	f	123669
f175344695	ict-technician	diploma	m	85432
e116746933	other-worker	certificate-iii	f	71209
f187833394	other-technician	certificate-iii	f	100389
d194563913	health-professional	graduate-diploma	m	127086
f165328080	clerks	certificate-i	f	39649
a112047513	other-worker	certificate-iii	f	84563
f120135312	art-media-professional	advance-diploma	m	125500
h159302533	engineering-worker	certificate-iv	f	59503
d154034723	carer	certificate-i	f	55203
g135030333	education-professional	bachelor-degree	m	101625
c110351513	construction-worker	certificate-ii	f	55270
i146126053	taxi-driver	senior-secondary-school	m	19663
f177433500	other-worker	diploma	m	94573
f117039573	legal-professional	bachelor-degree	m	99656
b180975364	engineering-worker	certificate-iv	m	96846
i155810386	education-professional	graduate-diploma	f	88809
g145143608	looking-for-employment	secondary-school	m	1796
i155608386	personal-services-worker	certificate-ii	f	39905
e103525315	other-technician	certificate-iv	f	143627
a128314075	construction-worker	certificate-iv	f	50044
e195539018	clerical-worker	senior-secondary-school	f	30278
h103757731	ict-technician	diploma	m	110568
h125518831	education-professional	advance-diploma	m	117740
d188132335	art-media-professional	masters-degree	f	89474
e103155245	other-service-worker	certificate-i	f	45739
c165313805	general-manager	graduate-certificate	f	163759
h172358701	health-professional	bachelor-degree	f	101115
c187918835	ict-professional	advance-diploma	f	85686
f169107359	casual-worker	secondary-school	f	5948
b171312532	construction-worker	diploma	m	92420
i185326262	health-support-worker	certificate-ii	f	60778
g186153752	part-time-worker	secondary-school	f	5808
e112363755	other-clerical-worker	certificate-i	f	32977
d182950523	secretary	certificate-i	f	34328
f194603351	factory-worker	senior-secondary-school	f	15977
d133184534	machinary-driver	senior-secondary-school	m	12675
g132361256	construction-worker	certificate-ii	f	99085
a132905323	ict-professional	bachelor-degree	m	113312
b141332580	clerks	senior-secondary-school	f	33325
c133383548	taxi-driver	senior-secondary-school	f	12308
i130865333	machinary-driver	senior-secondary-school	m	11083
g141033546	construction-labourer	secondary-school	f	15146
a163343546	ict-technician	certificate-iv	m	111750
a173835442	other-technician	certificate-iii	f	94942
i175349038	health-professional	advance-diploma	m	98514
b135903403	other-technician	advance-diploma	m	95631
c131757503	secretary	senior-secondary-school	m	41466
c113165793	legal-professional	bachelor-degree	m	148681
f174953433	other-technician	bachelor-degree	m	134360
e108353374	ict-technician	certificate-iii	m	129679
f188235703	construction-worker	diploma	m	76730
d153238321	construction-worker	certificate-iv	m	65402
f161185393	construction-worker	certificate-iii	m	59283
g193308951	general-manager	masters-degree	m	156050
d164895336	cleaner	secondary-school	m	15698
f153563996	other-worker	diploma	f	69144
c124385873	other-technician	advance-diploma	m	74482
c139403513	ict-technician	diploma	f	110344
a134905714	ict-professional	bachelor-degree	m	82190
c139572440	other-technician	certificate-iii	m	101880
h143594346	other-technician	certificate-iv	f	75546
b144369645	other-labourer	senior-secondary-school	f	13618
i137134524	automotive-worker	certificate-iii	f	59214
c134770572	cleaner	senior-secondary-school	f	15833
c188345189	automotive-worker	certificate-iii	f	76322
b154843062	manager	graduate-certificate	f	129269
e148430395	other-technician	advance-diploma	m	116317
a159055937	clerical-worker	certificate-i	m	37206
